sample_size,sample_method,kernel,alpha,MSE of GPR,MSE of LS Paraboloid Fit,Integral Absolute Error of GPR,Integral Absolute Error of LS Paraboloid Fit
20,systematic,"0.316**2 * RBF(length_scale=[0.1, 1.8e+06])",1,0.013735041598724452,0.002031889754522105,8.813227615635316,3.447983411154678
20,systematic,"0.1**2 * RBF(length_scale=[0.1, 1.8e+06])",0.01,0.0006193172492841583,0.002031889754522105,1.7832118280337432,3.447983411154678
20,systematic,"14.1**2 * RBF(length_scale=[0.1, 1.8e+06])",10,0.16961980550261202,0.002031889754522105,34.579382977889665,3.447983411154678
20,systematic,"22.4**2 * RBF(length_scale=[0.1, 1.8e+06])",0.001,0.00035693851880054316,0.002031889754522105,1.2365509324965502,3.447983411154678
20,systematic,"0.316**2 * RBF(length_scale=[0.1, 1.8e+06])",1e-07,0.0009789520885694818,0.002031889754522105,2.150840506112259,3.447983411154678
20,systematic,"14.1**2 * RBF(length_scale=[0.1, 1.8e+06])",1e-08,0.0009795568462756758,0.002031889754522105,2.1510782142320504,3.447983411154678
20,systematic,"0.01**2 * RBF(length_scale=[0.1, 1.8e+06])",0.0001,0.0006833378091746024,0.002031889754522105,1.8619801693694018,3.447983411154678
20,systematic,"0.316**2 * RBF(length_scale=[0.1, 1.8e+06])",1e-06,0.0009731555656365232,0.002031889754522105,2.1484563185258354,3.447983411154678
20,systematic,"14.1**2 * RBF(length_scale=[0.1, 1.8e+06])",0.001,0.0003569384402184041,0.002031889754522105,1.2365508484825876,3.447983411154678
20,systematic,"1**2 * RBF(length_scale=[0.1, 1.8e+06])",1e-20,0.0009796243983080288,0.002031889754522105,2.1511046418787636,3.447983411154678
20,systematic,"14.1**2 * RBF(length_scale=[0.1, 1.8e+06])",1e-05,0.0009282778384941405,0.002031889754522105,2.1246065523234656,3.447983411154678
20,systematic,"0.316**2 * RBF(length_scale=[0.1, 1.8e+06])",0.001,0.00035693850604642975,0.002031889754522105,1.2365508843115058,3.447983411154678
20,systematic,"0.1**2 * RBF(length_scale=[0.1, 1.8e+06])",1e-09,0.000979617612051301,0.002031889754522105,2.1511019509794735,3.447983411154678
20,systematic,"0.0316**2 * RBF(length_scale=[0.1, 1.8e+06])",1e-10,0.0009796236329894408,0.002031889754522105,2.1511043787282293,3.447983411154678
20,systematic,"14.1**2 * RBF(length_scale=[0.1, 1.8e+06])",100,0.16962139346527372,0.002031889754522105,34.57956604340364,3.447983411154678
20,systematic,"22.4**2 * RBF(length_scale=[0.1, 1.8e+06])",1e-15,0.0009796242813295435,0.002031889754522105,2.1511046337012445,3.447983411154678
20,systematic,"0.316**2 * RBF(length_scale=[0.1, 1.8e+06])",0.001,0.0003569385199363166,0.002031889754522105,1.2365509494937406,3.447983411154678
20,systematic,"0.01**2 * RBF(length_scale=[0.1, 1.8e+06])",0.1,0.003279800668339313,0.002031889754522105,4.473975752602583,3.447983411154678
20,systematic,"14.1**2 * RBF(length_scale=[0.1, 1.8e+06])",1,0.013735041473032545,0.002031889754522105,8.81322754959913,3.447983411154678
20,systematic,"0.316**2 * RBF(length_scale=[0.1, 1.8e+06])",0.001,0.0003569384949404045,0.002031889754522105,1.2365509203855716,3.447983411154678
20,systematic,"1**2 * RBF(length_scale=[0.1, 1.8e+06])",0.01,0.0006193173116116619,0.002031889754522105,1.7832119132841366,3.447983411154678
20,systematic,"14.1**2 * RBF(length_scale=[0.1, 1.8e+06])",10,0.16961982158067002,0.002031889754522105,34.57938510633446,3.447983411154678
20,systematic,"0.0316**2 * RBF(length_scale=[0.1, 1.8e+06])",1e-07,0.0009789520864757681,0.002031889754522105,2.150840493164717,3.447983411154678
20,systematic,"22.4**2 * RBF(length_scale=[0.1, 1.8e+06])",0.001,0.0003569384965592899,0.002031889754522105,1.2365508774268739,3.447983411154678
